Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Grapes,0,0,0,Non-Veg,59,4.3,38.2,7.25,30.4,1784,1458.7,13.0,19.7,20,24.7
Celery,1,1,0,Non-Veg,432,1.0,27.9,13.52,284.1,1392,399.5,118.3,7.0,1,28.0
Turkey,1,0,0,Non-Veg,169,2.6,33.5,3.27,27.8,125,1423.7,109.4,16.7,34,34.2
Plum,1,1,0,Non-Veg,165,7.2,45.4,1.8,40.4,1821,708.4,61.0,6.5,18,26.5
Grapes,0,0,0,Non-Veg,287,7.7,44.1,5.1,304.3,1794,948.5,11.2,8.6,12,28.1
Leek,0,1,1,Veg,65,15.7,45.7,18.13,316.1,1799,1757.9,17.9,13.4,0,1.5
Cilantro,0,0,1,Veg,317,1.9,6.0,9.16,203.8,1760,390.2,25.0,16.8,46,28.8
Apricot,0,1,0,Non-Veg,483,6.8,45.8,12.97,10.6,1647,135.2,70.0,15.5,0,3.7
Mango,0,0,0,Veg,65,18.6,37.5,7.98,174.8,207,1946.8,42.0,9.0,19,28.7
Banana,1,0,1,Veg,147,3.1,3.6,15.67,465.6,305,1034.4,65.6,2.1,43,45.6
Parsley,0,0,1,Veg,255,0.6,19.2,9.98,26.3,415,100.7,55.9,4.7,3,41.1
Peach,0,1,0,Veg,326,3.2,47.7,8.07,182.1,378,908.6,50.0,1.6,30,11.8
Mango,1,1,0,Non-Veg,562,19.3,18.8,1.9,62.5,939,524.7,45.3,16.6,19,2.3
Basil,1,1,0,Non-Veg,113,10.2,47.9,8.22,286.9,1978,22.6,70.9,15.9,44,47.5
Peanut Butter,1,0,0,Non-Veg,144,12.9,45.8,15.8,363.0,1992,1188.5,132.7,12.3,35,18.7
Milk,0,0,0,Veg,349,2.1,33.9,14.68,133.3,1546,1439.1,64.8,16.0,35,34.1
Cashews,1,1,1,Veg,357,8.5,11.3,16.11,26.0,306,1143.2,142.5,14.1,1,33.9
Milk,0,0,0,Non-Veg,408,10.3,33.9,4.58,356.1,58,177.7,90.9,0.4,28,31.4
Raspberries,1,1,1,Non-Veg,85,9.8,3.5,19.32,450.5,276,175.0,17.0,5.4,36,28.1
Beef Steak,1,0,1,Non-Veg,466,17.2,17.7,13.66,443.3,1606,1860.4,53.4,3.1,7,35.1
Cashews,1,1,1,Non-Veg,197,4.1,5.3,14.73,142.1,1403,1371.3,100.4,14.0,21,1.1
Paprika,1,1,0,Non-Veg,287,7.9,41.5,0.75,226.9,1956,1735.5,101.8,14.9,30,42.3
Parsnip,0,1,0,Non-Veg,311,12.7,36.6,3.77,9.8,232,419.8,141.1,10.2,7,48.5
Banana,1,1,1,Veg,422,15.9,4.0,12.06,325.3,1423,665.1,29.7,2.6,6,21.8
Milk,0,0,1,Non-Veg,188,10.1,49.7,5.44,453.7,1090,270.8,25.7,19.0,8,42.2
Vanilla,1,0,0,Veg,502,14.0,8.2,14.1,250.4,680,426.0,77.6,13.5,24,3.6
Brussels Sprouts,1,0,1,Non-Veg,533,1.1,2.5,15.15,268.3,1511,1740.7,99.6,13.6,7,43.9
Fenugreek,0,0,0,Veg,196,4.4,19.7,4.26,34.0,774,1882.4,63.8,7.6,16,23.5
Nutmeg,1,0,0,Non-Veg,596,0.4,19.0,7.28,34.6,200,805.3,73.7,10.0,16,39.3
Broccoli,1,1,0,Non-Veg,504,13.7,30.4,18.43,79.0,1755,1601.5,43.3,16.7,47,30.3
Celery,0,1,1,Non-Veg,582,1.1,19.9,18.48,442.7,905,1244.7,114.0,6.5,33,9.1
Raspberries,0,1,1,Non-Veg,472,7.7,2.8,19.81,477.0,121,699.0,69.9,0.2,16,29.0
Milk,0,1,1,Veg,307,2.5,40.2,17.94,266.7,213,1691.6,85.1,4.2,27,11.8
Oatmeal,1,1,1,Non-Veg,172,0.4,26.1,1.01,39.8,327,837.8,36.3,11.2,22,4.7
Mushrooms,0,0,1,Veg,65,15.4,34.2,14.58,337.6,1536,630.4,10.7,4.4,29,9.0
Raspberries,1,0,1,Non-Veg,492,15.3,4.2,7.79,142.0,1167,1292.2,104.4,14.3,35,45.7
Mango,1,0,1,Veg,50,0.3,32.2,11.3,43.7,1660,746.7,36.3,3.1,36,13.4
Nutmeg,1,1,1,Veg,103,3.8,43.9,13.14,465.4,76,350.0,51.2,11.9,42,35.9
Cloves,0,1,0,Non-Veg,455,9.4,11.5,11.46,422.2,508,1287.8,21.0,2.6,15,32.4
Chili Powder,0,0,0,Veg,258,19.9,26.9,3.49,53.7,86,398.3,58.2,14.5,3,33.4
Turmeric,0,1,1,Non-Veg,127,2.4,46.5,2.29,498.9,643,138.6,84.5,2.5,30,34.3
Nutmeg,0,1,0,Veg,194,3.2,26.5,4.24,370.1,1564,648.2,134.8,19.9,41,44.3
Almonds,0,1,0,Veg,427,18.6,22.5,5.73,261.0,619,739.5,32.6,11.3,43,26.1
Parsley,1,0,1,Veg,428,5.6,47.7,14.76,61.0,1494,1172.6,73.9,7.2,49,20.1
Paprika,0,1,0,Non-Veg,471,15.6,15.7,7.62,496.5,1169,1672.1,9.1,5.0,33,48.7
Watermelon,0,0,1,Non-Veg,389,1.7,7.6,1.96,468.7,1975,1330.1,1.7,15.5,18,38.9
Beet,0,0,1,Veg,492,13.8,21.6,5.55,226.1,323,1264.9,54.0,7.3,10,2.0
Turkey,0,1,0,Non-Veg,122,10.6,10.5,0.54,298.5,632,1743.1,117.9,1.7,16,22.9
Salmon,0,1,0,Non-Veg,400,7.4,7.1,16.83,417.1,446,488.6,8.6,13.3,45,49.7
Collard Greens,1,0,1,Non-Veg,376,14.3,23.8,16.91,180.2,166,1329.6,84.6,9.3,32,9.9
Cardamom,1,1,1,Veg,279,14.1,16.8,12.74,436.3,1250,1020.0,64.1,18.8,9,1.2
Lentils,1,1,0,Veg,252,9.5,14.6,14.53,81.4,533,1412.5,39.9,13.1,23,2.1
Blueberries,0,0,0,Veg,418,18.4,17.9,15.66,438.6,926,1651.9,84.3,3.6,18,5.6
Almonds,1,1,0,Veg,241,10.2,22.3,11.29,25.6,82,1441.4,132.8,10.5,0,42.4
Cumin,0,1,0,Non-Veg,529,13.3,18.2,16.12,291.5,69,796.3,133.4,12.6,36,23.0
Ginger,1,1,0,Non-Veg,569,15.5,10.8,6.73,12.9,1370,470.1,39.4,5.4,19,40.8
Peach,1,0,0,Veg,228,11.9,6.9,12.38,166.7,1127,1613.6,144.0,13.8,27,29.5
Peach,1,1,1,Veg,575,4.2,18.5,11.22,262.3,614,1738.8,127.5,15.7,26,0.7
Cashews,0,0,0,Veg,252,2.3,18.9,4.43,108.3,538,1335.9,57.1,0.4,7,20.7
Green Beans,1,0,0,Non-Veg,84,2.7,6.1,16.2,358.0,1031,1008.6,67.2,4.6,37,2.6
Yogurt,0,0,0,Non-Veg,549,4.5,11.3,2.75,148.0,593,409.9,22.9,9.0,40,19.9
Cloves,0,0,0,Non-Veg,439,6.3,46.1,6.25,154.4,690,405.2,81.5,12.5,33,24.1
Strawberries,1,1,0,Veg,109,16.9,5.2,10.44,431.4,1298,1829.7,27.2,4.7,49,4.2
Plum,0,0,0,Non-Veg,520,7.2,4.4,11.14,464.8,771,269.5,15.6,17.4,32,9.1
Blueberries,0,0,1,Veg,485,2.7,18.5,15.33,208.8,874,235.4,104.9,4.3,31,36.2
Raspberries,1,1,0,Veg,160,4.0,40.9,1.51,339.5,1284,586.5,135.5,16.9,11,35.4
Sage,0,0,1,Non-Veg,60,11.7,27.3,13.48,188.1,1103,1979.6,98.8,9.1,36,10.5
Black Beans,0,1,0,Non-Veg,180,6.9,1.6,11.23,465.8,127,945.1,3.8,1.9,9,47.4
Onion,1,0,0,Non-Veg,151,7.8,11.1,5.65,315.6,267,1240.1,58.3,13.8,31,46.2
Celery,1,0,0,Veg,486,7.2,48.4,19.96,129.9,1907,275.5,81.3,13.5,24,23.9
Turnip,1,1,0,Non-Veg,438,9.6,29.6,17.08,477.9,1059,768.0,121.5,8.8,49,4.4
Red Bell Pepper,1,1,0,Veg,262,11.1,15.2,0.36,359.1,430,663.0,65.6,2.1,11,19.4
Blueberries,1,0,0,Veg,357,11.4,17.5,14.94,347.6,1344,1617.8,141.1,2.1,41,35.6
Collard Greens,1,1,1,Veg,100,11.6,27.5,13.09,53.4,543,219.4,144.3,18.9,25,22.2
Turkey,0,0,1,Non-Veg,319,2.6,13.7,9.98,261.2,1809,75.6,84.6,5.6,47,0.4
Onion,1,0,1,Non-Veg,95,16.0,6.9,19.28,17.7,1508,1982.7,127.1,16.7,11,23.0
Tomato,0,1,1,Veg,195,1.8,26.7,9.99,442.0,1513,1031.3,105.0,15.7,4,45.6
Banana,0,1,1,Non-Veg,513,6.0,17.7,6.44,469.4,81,1766.1,97.0,6.3,1,27.3
Basil,1,0,0,Non-Veg,51,19.3,37.9,7.58,59.2,1637,1318.8,109.8,16.3,3,26.9
Sage,1,1,0,Non-Veg,499,19.8,18.8,17.33,49.8,1689,426.0,109.2,2.7,44,26.6
Black Beans,0,0,0,Veg,200,9.4,43.5,2.36,208.2,248,348.8,76.5,3.9,15,25.1
Sweet Potato,1,1,0,Non-Veg,154,11.9,48.4,4.32,488.6,1725,1693.0,140.5,16.9,14,40.7
Pork Chop,1,1,0,Veg,533,19.8,16.2,4.04,6.7,1614,1940.0,130.3,0.2,4,35.2
Zucchini,0,1,1,Non-Veg,213,10.1,8.1,15.7,211.9,1643,1179.8,1.3,4.7,43,3.4
Brown Rice,1,0,0,Non-Veg,226,12.3,7.6,3.43,391.0,68,528.9,88.1,11.4,34,49.5
Beef Steak,1,1,0,Non-Veg,227,5.7,3.5,6.5,159.2,251,712.8,47.2,16.5,7,32.2
Kidney Beans,0,0,0,Veg,204,10.3,48.8,4.08,301.1,1969,1246.0,61.1,11.9,22,44.9
Tomato,0,1,1,Non-Veg,263,1.4,22.1,6.25,211.0,227,1829.9,36.2,13.1,3,1.2
Apple,1,1,0,Veg,369,16.9,34.1,13.46,379.6,806,415.8,72.5,6.1,44,0.3
Fenugreek,0,0,1,Veg,191,13.0,16.8,9.76,9.2,1212,294.8,61.4,18.3,13,14.0
Yogurt,1,1,1,Non-Veg,472,0.4,12.7,9.11,399.8,1058,1497.9,21.7,4.2,0,29.3
Quinoa,1,0,0,Non-Veg,384,0.3,26.5,18.59,59.8,1345,719.8,134.7,10.8,4,7.5
Carrot,1,0,0,Non-Veg,366,16.2,19.0,18.53,243.6,109,1148.4,10.0,15.0,21,7.2
Brown Rice,0,1,0,Veg,420,18.6,2.0,1.38,59.6,1912,41.6,34.3,14.4,43,29.4
Radish,1,1,0,Non-Veg,326,7.6,12.2,7.46,228.3,269,1207.9,107.1,1.8,4,6.1
Parsnip,0,1,0,Non-Veg,491,2.8,28.6,11.26,456.6,1365,850.9,102.0,6.4,19,28.0
Walnuts,1,1,0,Non-Veg,252,17.3,21.7,10.82,179.8,475,722.2,6.2,4.9,47,8.0
Pear,0,1,0,Veg,478,10.5,13.9,13.28,356.2,680,501.0,144.4,1.3,5,42.5
Mushrooms,0,1,0,Non-Veg,528,3.6,7.4,2.03,498.2,506,1589.9,30.8,14.0,49,29.3
Cilantro,1,1,0,Veg,352,19.7,23.8,6.23,193.9,1050,601.2,47.9,13.0,42,7.4
Cucumber,0,1,0,Veg,310,6.5,46.6,2.03,487.3,987,289.6,91.8,3.9,5,46.0
Yellow Bell Pepper,0,0,0,Non-Veg,178,11.8,25.4,19.85,411.3,391,1542.9,127.8,14.7,34,38.9
Rosemary,0,0,1,Non-Veg,281,2.0,5.9,3.56,492.8,1739,1090.3,98.9,2.0,38,13.4
Chickpeas,1,1,1,Veg,231,8.3,22.6,11.36,466.8,948,1340.5,32.4,19.9,17,33.8
Apricot,1,1,1,Non-Veg,562,12.1,13.8,13.91,32.6,125,1826.7,1.6,10.9,21,2.2
Strawberries,1,1,1,Veg,276,19.6,43.9,19.8,136.6,533,405.7,143.0,4.8,29,15.2
Almonds,1,0,1,Veg,532,8.6,1.9,13.74,442.5,666,1014.7,97.9,8.0,27,34.5
Onion,0,0,0,Veg,593,3.2,15.6,8.7,165.7,55,1636.5,104.1,13.3,44,0.4
Vanilla,0,1,1,Veg,302,11.0,37.0,7.85,459.4,1693,881.1,12.8,1.1,42,21.3
Basil,0,0,0,Non-Veg,316,7.1,21.9,8.95,360.9,528,1818.4,143.7,19.6,3,11.7
Avocado,1,1,0,Veg,279,12.4,35.3,16.73,312.3,1549,1390.1,10.6,9.1,2,16.4
Radish,0,1,0,Non-Veg,432,15.7,17.5,15.51,454.8,1876,523.7,19.3,3.7,1,44.8
Tofu,0,0,0,Veg,208,0.3,40.9,18.81,119.9,747,1272.8,49.4,15.1,25,3.9
Sage,1,0,0,Veg,195,7.1,41.6,13.07,380.1,899,614.6,51.9,3.2,14,27.5
Kiwi,1,1,0,Veg,287,7.3,42.2,18.42,58.5,566,1004.7,90.1,17.9,43,35.3
Cashews,1,1,0,Non-Veg,540,10.3,45.6,19.84,338.6,1986,587.4,140.0,0.9,13,22.5
Paprika,0,0,0,Non-Veg,479,14.7,45.4,11.27,298.3,350,1824.9,45.8,19.8,42,25.3
Salmon,0,1,0,Non-Veg,73,10.9,15.0,14.54,145.5,417,1607.7,35.3,8.7,11,39.7
Raspberries,0,0,0,Veg,152,11.0,12.6,4.27,419.1,388,1470.0,130.3,1.3,20,42.9
Kale,1,0,1,Veg,95,11.7,47.7,19.53,483.8,576,1409.0,144.8,18.4,11,1.5
Kidney Beans,1,0,1,Non-Veg,267,12.0,18.7,7.65,279.3,1864,31.0,47.6,8.8,43,21.0
Eggs,1,1,1,Veg,581,1.2,49.8,14.41,187.1,1203,793.8,59.8,6.2,41,44.0
Yellow Bell Pepper,0,0,0,Veg,257,14.4,12.0,10.15,28.7,1620,1630.2,86.5,15.5,33,25.4
Cheese,1,0,1,Non-Veg,222,2.8,44.7,1.17,416.7,392,1886.4,42.7,11.3,0,23.9
Turmeric,0,0,0,Non-Veg,110,2.9,41.1,7.57,50.3,904,899.5,2.1,13.1,42,8.0
Walnuts,1,0,0,Non-Veg,580,14.8,13.9,18.58,218.8,1105,169.0,66.3,3.9,11,39.7
Apricot,0,0,1,Veg,593,12.5,13.6,2.71,71.1,1563,733.5,29.2,18.7,47,31.6
Tofu,1,0,1,Non-Veg,312,2.4,47.4,6.55,336.6,1166,1179.3,28.5,16.5,7,33.9
Cantaloupe,1,0,1,Non-Veg,270,18.0,31.4,5.07,234.6,927,670.4,132.3,13.6,29,16.4
Mint,1,1,1,Non-Veg,255,16.1,37.8,9.75,450.1,782,1600.1,111.1,14.8,39,46.3
Nutmeg,0,0,1,Non-Veg,419,10.8,2.0,14.68,104.4,1793,1734.7,15.0,18.6,5,44.2
Peanut Butter,1,0,0,Veg,217,10.3,49.7,0.61,90.8,50,87.9,4.1,8.6,26,37.4
Collard Greens,1,1,0,Non-Veg,533,13.5,11.5,6.18,366.7,233,1320.2,63.6,13.3,30,7.6
Rosemary,1,0,0,Veg,242,5.8,9.5,10.36,70.4,974,1085.2,113.2,17.0,3,45.6
Collard Greens,1,0,0,Non-Veg,371,13.9,49.3,7.35,109.9,1409,50.2,109.8,18.5,29,14.9
Eggs,0,0,0,Non-Veg,190,16.4,3.1,16.05,144.6,786,1552.5,124.1,19.1,27,13.7
Beef Steak,1,1,0,Non-Veg,282,1.7,35.0,17.15,155.5,764,654.1,149.7,13.2,13,17.4
Collard Greens,0,0,1,Veg,74,2.4,42.2,2.02,134.4,1789,1504.8,95.2,11.5,29,32.4
Leek,0,1,0,Veg,428,8.8,34.0,11.1,174.4,294,160.9,116.1,17.6,0,27.2
Cumin,0,1,0,Veg,421,13.5,12.6,5.43,142.3,1949,91.9,75.3,6.5,49,9.6
Thyme,1,1,1,Veg,164,6.7,7.6,3.45,315.9,1252,657.4,75.7,18.5,6,6.5
Squash,1,0,1,Veg,186,8.3,37.2,15.29,315.2,548,485.5,131.6,2.1,16,25.2
Kale,0,0,1,Veg,175,8.8,19.3,18.93,244.4,991,891.7,128.1,5.8,22,45.9
Lentils,0,0,0,Non-Veg,170,8.7,45.3,17.4,429.3,1241,542.4,73.3,18.3,7,49.6
Cinnamon,0,0,0,Non-Veg,418,15.0,9.6,7.97,42.5,910,1766.3,71.1,17.9,24,17.0
Parsnip,0,0,1,Veg,313,7.2,4.6,0.89,268.9,151,1609.3,30.9,3.6,33,49.5
Coriander,1,0,1,Non-Veg,202,18.0,7.8,6.8,222.0,98,300.4,28.7,14.7,30,13.8
Parsnip,0,1,1,Veg,321,4.8,17.0,2.34,47.5,381,646.0,120.6,9.3,49,17.3
Pear,0,1,0,Non-Veg,485,18.6,33.9,8.42,301.4,799,539.2,43.8,12.0,14,7.5
Raspberries,0,1,1,Non-Veg,335,2.6,43.4,11.36,104.1,64,371.8,35.0,18.8,41,34.1
Paprika,1,0,1,Veg,146,10.6,18.8,0.6,230.0,814,1163.8,68.1,15.5,0,34.1
Cardamom,1,1,1,Veg,392,4.5,32.4,10.52,330.3,886,66.9,66.5,7.9,23,17.4
Cauliflower,0,1,0,Veg,184,16.7,2.7,1.12,153.8,1382,587.8,40.0,3.8,45,49.8
Walnuts,0,0,1,Non-Veg,91,17.8,31.6,0.39,218.4,1906,1840.8,73.5,19.1,20,45.1
Pumpkin,1,0,1,Non-Veg,548,9.0,21.5,5.1,492.3,1259,712.4,121.8,10.4,10,26.5
Cucumber,1,0,1,Veg,258,7.5,29.4,14.77,262.2,22,193.6,136.5,5.9,17,9.7
Thyme,1,1,0,Non-Veg,463,1.1,12.6,3.8,338.8,877,1359.6,30.8,7.7,30,2.5
Lentils,1,0,0,Veg,397,9.2,22.8,12.3,22.8,1801,1895.9,77.2,1.5,30,21.3
Garlic,1,0,0,Non-Veg,295,0.1,15.5,11.58,201.4,1725,1889.9,145.7,11.7,34,34.5
Pineapple,0,0,1,Veg,120,11.0,36.5,10.32,349.5,1046,1287.3,96.0,6.9,47,32.3
Cinnamon,1,0,1,Non-Veg,110,17.2,22.5,18.71,442.0,1897,259.7,147.2,8.7,29,33.5
Fennel Seeds,0,0,1,Veg,455,17.5,15.2,0.68,41.8,213,1011.9,73.5,16.9,16,36.4
Pineapple,0,0,0,Veg,418,7.6,36.9,8.66,227.2,1648,1273.9,85.8,19.4,0,21.8
Blueberries,0,0,1,Veg,481,11.5,31.3,10.55,12.7,1543,1932.4,51.4,1.1,28,30.2
Kidney Beans,1,1,1,Non-Veg,184,6.6,26.0,12.51,322.5,664,1625.8,28.3,17.9,3,42.2
Turkey,0,1,0,Non-Veg,554,18.5,5.4,13.68,492.6,553,1280.9,43.1,0.7,39,41.7
Banana,0,0,0,Veg,572,13.0,34.8,4.64,72.2,815,617.9,32.3,8.1,11,26.7
Grapes,0,0,0,Non-Veg,272,9.7,29.0,15.95,399.2,1572,504.7,76.5,9.6,49,9.7
Carrot,0,0,0,Non-Veg,85,2.5,21.2,10.85,429.8,207,778.6,51.8,15.4,48,39.4
Turkey,1,1,1,Veg,57,2.9,30.9,12.12,385.7,1406,518.8,16.3,18.7,35,44.6
Tomato,0,1,1,Veg,462,17.2,20.6,9.24,162.2,1238,205.1,87.0,19.3,3,14.3
Paprika,1,1,1,Veg,475,2.3,33.9,18.32,436.0,1534,1407.8,123.7,2.5,0,23.9
Cumin,0,0,1,Veg,561,2.8,44.5,5.9,451.0,1811,1537.5,25.4,18.2,38,2.4
Red Bell Pepper,1,1,0,Veg,289,5.4,31.1,18.53,305.8,75,1487.9,75.1,7.0,12,10.7
Tofu,1,1,1,Non-Veg,455,3.5,48.6,14.0,207.7,1160,502.1,149.6,17.3,13,3.2
Eggs,0,1,0,Veg,175,16.5,44.6,16.36,218.5,1310,817.4,94.7,13.9,9,5.4
Collard Greens,1,1,0,Veg,372,0.2,47.7,12.57,467.9,339,652.0,2.6,7.6,28,35.1
Carrot,0,1,1,Non-Veg,219,17.0,40.5,6.16,194.2,1409,323.7,124.0,15.7,23,42.3
Mango,0,0,0,Non-Veg,240,8.6,29.6,15.21,50.9,646,1319.4,96.3,3.8,33,49.3
Fennel Seeds,1,1,0,Non-Veg,348,14.4,7.6,9.4,164.1,572,504.9,115.3,9.1,29,15.2
Raspberries,1,0,1,Veg,182,7.8,2.5,13.84,124.7,317,212.6,101.7,7.0,30,1.8
Pumpkin,1,0,1,Non-Veg,208,18.3,4.3,4.33,326.3,1661,1874.3,103.5,18.3,38,10.7
Chili Powder,0,0,0,Veg,321,5.2,15.3,1.03,31.6,1410,1977.6,68.0,13.7,3,6.4
Watermelon,0,1,1,Veg,496,4.5,35.1,12.72,335.2,470,355.2,149.6,19.6,37,42.5
Blueberries,0,0,0,Veg,369,15.8,22.2,17.5,240.1,1175,394.8,77.3,11.0,0,8.7
Beef Steak,0,1,1,Non-Veg,533,0.3,2.9,15.3,297.6,85,132.9,38.1,15.4,3,1.0
Cloves,1,1,0,Non-Veg,566,1.3,38.9,17.27,177.0,323,615.9,114.2,8.9,48,15.9
Celery,1,1,1,Veg,78,5.3,5.6,0.41,307.2,622,1696.1,33.1,13.1,36,22.5
Leek,0,0,0,Non-Veg,436,15.7,5.6,17.44,347.9,1420,662.9,32.2,15.1,49,29.6
Mango,1,0,1,Non-Veg,139,4.2,14.4,7.49,418.8,1439,1201.6,86.0,16.5,49,27.8
Apricot,0,1,1,Veg,297,11.5,5.1,2.21,70.5,685,266.5,99.8,6.8,15,32.0
Parsnip,1,1,1,Non-Veg,73,3.4,27.8,15.24,346.5,847,682.7,34.7,19.7,24,14.5
Green Beans,0,0,0,Non-Veg,171,18.7,15.0,11.85,238.3,143,1371.0,104.8,1.3,24,9.9
Beef Steak,0,0,1,Non-Veg,567,6.2,47.9,6.22,349.4,516,1465.4,44.7,2.4,25,31.2
Pear,1,0,1,Non-Veg,227,2.0,20.2,17.84,31.3,1888,1530.9,51.9,3.5,35,43.9
Zucchini,0,0,1,Non-Veg,453,3.5,8.6,18.05,89.6,1549,964.9,75.9,9.9,2,41.6
Squash,1,0,1,Non-Veg,334,11.0,1.1,11.38,216.7,1292,1403.0,113.0,3.2,31,40.5
Broccoli,0,0,0,Veg,494,3.7,29.1,18.43,474.1,1382,1625.1,75.1,6.2,12,45.7
Parsley,1,0,1,Veg,459,14.9,27.5,1.28,62.8,308,362.5,146.4,11.2,24,12.7
Cheese,1,0,0,Veg,163,6.3,20.0,4.12,76.9,1912,1736.7,106.3,6.5,26,19.6
Thyme,1,1,1,Veg,222,3.6,12.2,14.1,289.8,1352,255.2,74.7,16.4,46,34.6
Kidney Beans,1,0,1,Non-Veg,535,2.0,33.0,3.93,47.9,1552,422.0,28.5,4.7,45,10.4
Cinnamon,0,0,1,Veg,566,5.8,21.2,15.99,17.6,1271,115.1,8.1,17.1,14,5.9
Spinach,0,1,1,Non-Veg,301,19.0,9.2,5.02,366.0,578,506.3,17.1,10.0,31,10.3
Carrot,0,1,1,Non-Veg,247,1.1,22.0,14.76,163.6,242,1441.1,142.3,12.2,38,42.6
Cheese,0,1,1,Non-Veg,205,19.1,26.5,17.23,434.9,1720,1302.4,27.1,1.1,13,25.5
Vanilla,0,0,0,Veg,547,14.9,47.3,16.38,496.0,1576,1462.2,107.6,6.6,1,25.2
Coriander,0,1,1,Non-Veg,166,11.7,24.2,2.88,432.4,1719,1557.5,126.2,3.9,40,42.5
Kidney Beans,1,0,1,Non-Veg,125,9.8,24.9,15.27,209.9,985,1364.3,87.8,13.1,30,4.6
Mango,0,0,0,Veg,407,2.9,27.3,17.77,321.5,136,399.8,95.2,15.6,17,31.4
Kale,0,1,1,Non-Veg,202,0.8,34.4,6.58,169.8,1347,993.8,31.9,3.4,18,3.5
Spinach,1,1,0,Veg,462,12.5,9.7,9.26,47.8,1670,1120.8,119.0,12.3,11,47.5
Tomato,0,1,0,Veg,277,4.8,24.8,19.78,261.9,860,367.1,43.5,2.6,39,18.5
Cumin,1,1,0,Veg,583,10.7,44.1,19.08,51.6,1780,29.9,103.1,12.9,24,30.4
Chicken Breast,1,0,0,Non-Veg,355,8.9,45.2,3.68,135.9,129,696.3,37.8,2.7,45,9.8
Fenugreek,0,1,0,Non-Veg,558,15.2,42.6,8.3,344.9,259,682.2,44.0,16.6,34,32.2
Red Bell Pepper,1,1,0,Non-Veg,244,5.5,10.9,17.22,285.5,802,1970.0,12.3,13.6,23,5.9
Cantaloupe,1,1,1,Veg,530,2.6,26.0,17.77,43.4,650,36.9,87.0,15.6,10,40.5
Avocado,0,1,1,Non-Veg,121,12.2,46.6,7.69,114.3,158,1528.3,37.7,5.4,19,36.9
Turkey,0,1,0,Non-Veg,369,16.8,0.8,0.18,217.1,1732,1041.3,120.6,15.9,38,38.1
Tomato,0,1,0,Non-Veg,429,18.4,45.1,17.86,209.2,1824,901.3,87.3,16.8,10,49.5
Basil,1,1,0,Veg,309,18.5,9.2,8.29,291.3,799,946.1,30.1,1.2,13,38.3
Pork Chop,1,1,1,Veg,401,0.8,27.3,11.62,328.3,1963,1849.1,77.7,8.1,2,3.1
Kiwi,1,1,1,Non-Veg,422,3.8,10.6,15.17,141.0,1140,1004.4,38.5,17.3,40,33.0
Kidney Beans,1,1,0,Non-Veg,319,15.0,43.8,12.08,358.6,1243,650.8,5.4,7.7,7,48.9
Mint,1,1,1,Non-Veg,376,14.1,38.1,4.97,236.7,858,671.2,48.8,18.4,18,18.1
Sweet Potato,1,0,1,Non-Veg,108,11.7,20.8,1.65,413.9,183,91.0,66.6,2.1,41,18.5
Grapes,0,0,1,Veg,196,7.4,10.1,19.28,57.1,1750,295.6,131.0,11.8,29,4.0
Peach,1,0,1,Veg,155,6.2,22.6,9.79,397.6,895,987.4,8.3,5.8,2,40.9
Brown Rice,0,0,1,Veg,528,1.9,5.4,0.25,17.6,758,1955.2,35.9,7.5,36,13.6
Banana,0,0,0,Veg,247,11.8,30.2,14.25,149.6,1890,629.6,50.6,11.2,14,24.7
Nutmeg,1,0,0,Veg,180,4.3,17.2,8.27,326.2,1161,1389.6,69.0,1.8,43,36.3
Watermelon,0,1,0,Non-Veg,564,17.8,1.3,3.45,69.2,1825,803.8,36.1,7.6,13,33.8
Thyme,1,0,1,Veg,421,4.6,21.3,7.47,371.0,988,680.9,76.0,1.8,28,17.1
Vanilla,0,1,0,Non-Veg,190,15.4,35.6,7.17,474.2,941,1122.0,34.5,5.0,45,32.6
Rosemary,1,0,0,Non-Veg,422,7.0,32.3,8.23,437.5,118,1814.3,24.4,13.3,27,28.4
Spinach,0,1,1,Veg,403,16.4,5.5,13.52,49.7,1494,713.5,94.7,2.5,1,49.6
Almonds,1,1,1,Non-Veg,225,14.8,47.8,0.67,94.1,1365,563.1,16.0,10.6,43,48.5
Cucumber,0,0,1,Non-Veg,415,0.6,34.1,7.89,34.5,1861,1631.1,98.7,14.8,47,10.0
Mint,0,1,0,Non-Veg,293,13.0,30.0,12.78,254.9,741,1627.4,15.8,14.3,27,36.3
Mint,1,1,0,Veg,243,11.3,35.5,19.96,404.4,1866,241.3,132.0,1.5,47,40.7
Chickpeas,1,1,0,Veg,319,16.5,28.0,12.23,427.0,1066,1873.3,111.3,9.6,15,15.0
Kidney Beans,1,0,0,Non-Veg,408,4.7,20.5,18.51,310.3,1623,1928.8,34.5,8.2,40,47.5
Kale,1,1,1,Veg,561,14.6,24.6,7.46,299.0,221,496.6,41.4,2.4,49,10.0
Turmeric,0,0,0,Non-Veg,548,17.7,22.9,9.64,268.6,1811,447.7,134.9,17.2,37,16.3
Kiwi,1,1,0,Non-Veg,188,15.7,35.7,19.07,212.9,1862,1970.8,10.4,17.0,3,25.6
Rosemary,1,0,1,Non-Veg,359,18.4,38.3,7.62,51.9,1197,1505.6,122.6,17.2,17,46.3
